                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     56,                0.69278,                 0.5454,                0.98598,                0.87981,                0.85537,                0.91261,                0.74652,                0.86299,                0.67323,                 1.0581,             0.00035483,             0.00035483,             0.00035483
                     57,                0.69489,                 0.5493,                 0.9938,                0.88633,                0.85806,                 0.9059,                0.73385,                0.89098,                0.69568,                  1.078,             0.00034108,             0.00034108,             0.00034108
                     58,                0.70345,                0.55059,                0.99423,                0.89383,                0.83977,                0.90412,                0.73062,                0.88548,                0.73189,                 1.0844,             0.00032733,             0.00032733,             0.00032733
                     59,                0.69572,                0.55219,                0.99205,                0.88877,                0.85163,                0.91166,                0.74418,                0.87888,                0.71108,                 1.0703,             0.00031358,             0.00031358,             0.00031358
                     60,                0.67458,                0.53161,                0.98529,                0.89055,                 0.8383,                0.91265,                0.74111,                0.88403,                0.66916,                 1.0843,             0.00029983,             0.00029983,             0.00029983
                     61,                0.68826,                 0.5478,                0.98626,                0.88151,                0.84622,                0.90965,                0.74749,                0.85512,                0.69518,                 1.0701,             0.00028608,             0.00028608,             0.00028608
                     62,                0.66573,                0.52266,                0.98785,                0.88408,                0.85148,                0.91184,                0.75036,                0.87211,                0.70528,                 1.0797,             0.00027233,             0.00027233,             0.00027233
                     63,                0.67313,                 0.5319,                0.98632,                0.87892,                0.86548,                0.91577,                0.74905,                0.84904,                0.67517,                 1.0617,             0.00025859,             0.00025859,             0.00025859
                     64,                0.66491,                0.52095,                0.97341,                 0.8818,                0.85836,                0.91267,                0.74075,                0.87971,                0.69508,                 1.0833,             0.00024484,             0.00024484,             0.00024484
                     65,                0.66015,                0.51449,                0.97768,                0.87662,                0.85513,                0.91346,                0.75116,                 0.8558,                0.69428,                 1.0797,             0.00023109,             0.00023109,             0.00023109
                     66,                0.67442,                0.51661,                0.97821,                0.87353,                0.87107,                 0.9133,                0.74599,                0.87318,                0.68708,                 1.0794,             0.00021734,             0.00021734,             0.00021734
                     67,                0.65547,                0.50119,                0.97354,                0.86874,                0.88484,                  0.919,                0.75518,                0.86243,                0.66208,                 1.0675,             0.00020359,             0.00020359,             0.00020359
                     68,                0.65141,                0.51179,                0.97041,                 0.9068,                0.83695,                0.91569,                0.75436,                0.85625,                0.66977,                 1.0653,             0.00018984,             0.00018984,             0.00018984
